"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00003844]",,Material Preparation,,,,"Loading of wafer cassette in the DA machine. Loading of leadframe into the input loader. Installation of solder wire / Glue  in the respective dispenser assembly._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Loading of wafer cassette in the DA machine. Loading of leadframe into the input loader. Installation of solder wire / Glue / . in the respective dispenser assembly._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]
This process is to enable stripmap download/ upload in Die attach process. (Applicable to StMs enabled products)
[Machine_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Separated silver filler,"Dispense pressure inconsistency
[Machine_Z8R00003844]","Design change / modifications - Setting  of parameter of Thinky Centrifugal Mixer  for all types_Z8R00000151

OJTI for Die Attach (Machine setup / conversion) _Z8R00000503

Procedural controls-Monitoring procedure and guideline_Z8R00000151 and Z8R00000129",2,Machine alarm to detect abnormal dispense pattern,2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,17,Z8R00003844_17
"Function for Effects
[Z8R00003844]",,Material Preparation,,,,"Loading of wafer cassette in the DA machine. Loading of leadframe into the input loader. Installation of solder wire / Glue  in the respective dispenser assembly._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Loading of wafer cassette in the DA machine. Loading of leadframe into the input loader. Installation of solder wire / Glue / . in the respective dispenser assembly._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]
This process is to enable stripmap download/ upload in Die attach process. (Applicable to StMs enabled products)
[Machine_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",7,7,Strip produced with strip map upload problem,"Strip map function is switched off during production mode
[Machine_Z8R00003844]","OJTI for Die Attach (Machine setup / conversion)_Z8R00000503 ESEC2100_Z8R00005324

OJTI for Die Attach (Operation)_Z8R00000503 / Z8R00003858",3,"APC alarm with auto machine tool stop_Z8R00000151

1st strip confirmation at stripmap editor by operator_Z8R00000503",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,18,Z8R00003844_18
"Function for Effects
[Z8R00003844]",,Input,1.1.d,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",7,7,Damaged Frame,"Leadframe drop from TOS gripper can casue damage leadframe or bent leads due to worn out suction cups
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

ASM AD8312/Plus PM OJTI Z8R00005076

ASM AD8312/Plus Setup OJTI Z8R00005074",5,"Machine Alarm (alarm ID 44302)

Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

Machine Alarm (alarm ID 7002 for AD8312 & 60207 for AD8312Plus)

Production surveillance visual inspection and machine stoppage Z8R00005049",2,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,5,3,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,19,Z8R00003844_19
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to determine sensor state will throw too much leadframe on the bin resulting to bend or damage leadframe if continue run due to exceededed lifespan
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",5,"Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

General Alarm 44337 44338",2,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,5,3,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,20,Z8R00003844_20
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Mis alignment on Y axis tend to jam the leadframe on input handler due to worn out belt.
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,21,Z8R00003844_21
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Mis alignment on Z axis tend to jam the leadframe on output handler due to worn out belt.
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",2,"Defect Catalogue on Die Attach Process_ Z8R00002084

General Alarm 54301 54351 54352 54353 54384 854301

Production surveillance 2 leadframes per magazine_Z8R00000151",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,22,Z8R00003844_22
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Misalignment between leadframe pick and place / loader / pusher / kicker
[Machine_Z8R00003844]","Procedural controls-Monitoring procedure and guideline_Z8R00000129 and  Z8R00000151

OJTI for Die Attach (Machine setup / conversion) _Z8R00000503",3,"Production surveillance 2 leadframes per magazine_Z8R00000129 and Z8R00000151

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,23,Z8R00003844_23
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe collision resulting to damage leadframe due to faulty linear scale
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",2,"Machine Alarm (alarm ID 44302)

Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

General Alarm 47753",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,24,Z8R00003844_24
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe collision resulting to damage leadframe due to faulty worn out clamp
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,25,Z8R00003844_25
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to transport the leadframe properly resulting to mis index due to worn out roller
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000620

ESEC 2007 SSI PM OJTI Z8R00000620

ESEC 2007 setup OJTI Z8R00000768

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Defect Catalogue on Die Attach Process_ Z8R00002084

Production surveillance 2 leadframes per magazine_Z8R00000129

100% Visual Inspection Z8R00000878",6,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,2,6,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,26,Z8R00003844_26
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to transport the leadframe properly resulting to mis index due to worn out shaft
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000620

ESEC 2007 SSI PM OJTI Z8R00000620

ESEC 2007 setup OJTI Z8R00000768

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"100% Visual Inspection Z8R00000878

Production surveillance 2 leadframes per magazine_Z8R00000129

Defect Catalogue on Die Attach Process_ Z8R00002084",6,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,2,6,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,27,Z8R00003844_27
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to transport the leadframe properly resulting to mis index due to worn out guide
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000620

ESEC 2007 SSI PM OJTI Z8R00000620

ESEC 2007 setup OJTI Z8R00000768

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Production surveillance 2 leadframes per magazine_Z8R00000129

Defect Catalogue on Die Attach Process_ Z8R00002084

100% Visual Inspection Z8R00000878",6,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,2,6,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,28,Z8R00003844_28
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Mis alignment on Y axis tend to jam the leadframe on output handler due to worn out belt.
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",2,"Production surveillance 2 leadframes per magazine_Z8R00000151

Defect Catalogue on Die Attach Process_ Z8R00002084

General Alarm 54385",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,29,Z8R00003844_29
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe drops during transferring to indexing track due to vacuum malfunction, weak, leakage or vacuum cup offset
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00005241

ESEC 2100 PM OJTI Z8R00005241

ESEC 2100 setup OJTI Z8R00005324",2,"Visual inspection / machine stoppage Z8R00000151

General Alarm 252051477 252051469",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,30,Z8R00003844_30
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Collision of leadframe on magazine due to wear and tear of transport roller
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Defect Catalogue on Die Attach Process_ Z8R00002084

Production surveillance 2 leadframes per magazine_Z8R00000151

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,31,Z8R00003844_31
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to detect home position the kicker will protrude and leadframe will hit during indexing resulting to damage leadframe due to faulty switch
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Defect Catalogue on Die Attach Process_ Z8R00002084

Production surveillance 2 leadframes per magazine_Z8R00000151

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,32,Z8R00003844_32
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to detect the leadframe in between indexer and magazine will lead to damage leadframe once machine do initialziation or unload the magazine due to faulty fiber
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922",2,"Defect Catalogue on Die Attach Process_ Z8R00002084

Production surveillance 2 leadframes per magazine_Z8R00000151

Machine Alarm (alarm ID 44302)",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,33,Z8R00003844_33
